DEBUG 2024-08-02 16:35:43,303 autoreload File C:\Users\bossf\Lib\mimetypes.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,304 autoreload File C:\Users\bossf\Lib\email\mime\base.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,304 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\urls\base.py first seen with mtime 1722450069.3788786
DEBUG 2024-08-02 16:35:43,305 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\rest_framework\decorators.py first seen with mtime 1722450079.0138783
DEBUG 2024-08-02 16:35:43,306 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\rest_framework\schemas\coreapi.py first seen with mtime 1722450079.2448826
DEBUG 2024-08-02 16:35:43,307 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\rest_framework_simplejwt\token_blacklist\models.py first seen with mtime 1722472235.3872223
DEBUG 2024-08-02 16:35:43,308 autoreload File C:\Users\bossf\Downloads\market_connect\devmarketer_project\api\urls.py first seen with mtime 1722626735.1911309
DEBUG 2024-08-02 16:35:43,309 autoreload File C:\Users\bossf\Lib\asyncio\sslproto.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,309 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\contrib\auth\password_validation.py first seen with mtime 1722450066.2808785
DEBUG 2024-08-02 16:35:43,311 autoreload File C:\Users\bossf\Lib\uuid.py first seen with mtime 1666658048.0
DEBUG 2024-08-02 16:35:43,311 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1722450069.1418805
DEBUG 2024-08-02 16:35:43,312 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\rest_framework\utils\humanize_datetime.py first seen with mtime 1722450079.6138809
DEBUG 2024-08-02 16:35:43,313 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\urls\resolvers.py first seen with mtime 1722450069.383882
DEBUG 2024-08-02 16:35:43,314 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1722450068.9458785
DEBUG 2024-08-02 16:35:43,315 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\utils\http.py first seen with mtime 1722450069.4118803
DEBUG 2024-08-02 16:35:43,315 autoreload File C:\Users\bossf\Downloads\market_connect\env\Lib\site-packages\django\contrib\auth\middleware.py first seen with mtime 1722450066.2788813
